epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.219,1.44575,3.26394,1.46905,0.85762,0.32292,0.36728,0.23065,1.28553,2.76937,1.52642,0.000412736,0.000412736,0.000412736
2,693.808,1.49423,2.50927,1.50991,0.82169,0.30029,0.34089,0.20245,1.34583,3.37015,1.54672,0.000802032,0.000802032,0.000802032
3,1044.38,1.55822,2.27523,1.54605,0.6008,0.37083,0.33122,0.17009,1.55818,4.06702,1.84569,0.00116383,0.00116383,0.00116383
4,1380.92,1.53256,2.15657,1.56128,0.64977,0.34697,0.41819,0.25345,1.44094,2.4527,1.59495,0.00112625,0.00112625,0.00112625
5,1724.24,1.50221,1.85947,1.50866,0.33924,0.35663,0.37873,0.22484,1.51405,2.19121,1.64851,0.001085,0.001085,0.001085
6,2074.85,1.51438,1.71691,1.51924,0.62041,0.35451,0.38555,0.23449,1.4655,2.01937,1.64008,0.00104375,0.00104375,0.00104375
7,2494.05,1.46947,1.65902,1.47352,0.63696,0.45142,0.41459,0.24786,1.49796,1.83835,1.6318,0.0010025,0.0010025,0.0010025
8,2925.98,1.45793,1.56526,1.4821,0.63514,0.41998,0.44757,0.28307,1.32886,1.58555,1.50234,0.00096125,0.00096125,0.00096125
9,3396.99,1.43992,1.47214,1.48987,0.64736,0.41835,0.43907,0.28459,1.30099,1.63366,1.51818,0.00092,0.00092,0.00092
10,3848.49,1.37809,1.33621,1.43533,0.65778,0.3934,0.46963,0.28741,1.43087,1.65991,1.66749,0.00087875,0.00087875,0.00087875
11,4287.41,1.38626,1.30772,1.42655,0.41537,0.62861,0.52095,0.32968,1.30463,1.22808,1.47494,0.0008375,0.0008375,0.0008375
12,4626.43,1.35642,1.20419,1.40311,0.41398,0.53275,0.49313,0.32002,1.31861,1.27845,1.46007,0.00079625,0.00079625,0.00079625
13,4948.37,1.33962,1.22774,1.40643,0.62569,0.50293,0.54147,0.33623,1.25032,1.2307,1.43288,0.000755,0.000755,0.000755
14,5271.67,1.34726,1.14993,1.39399,0.79083,0.43548,0.56663,0.3279,1.36912,1.34629,1.50758,0.00071375,0.00071375,0.00071375
15,5595.28,1.31486,1.08846,1.37543,0.5127,0.62823,0.51681,0.32233,1.29349,1.34011,1.47776,0.0006725,0.0006725,0.0006725
16,5916.31,1.30015,1.06024,1.36294,0.43733,0.69847,0.5829,0.35868,1.23745,1.10301,1.42569,0.00063125,0.00063125,0.00063125
17,6245.27,1.28466,1.03411,1.35893,0.49206,0.62101,0.579,0.35814,1.25318,1.17652,1.42382,0.00059,0.00059,0.00059
18,6628.11,1.27019,1.04282,1.35207,0.50171,0.76386,0.59085,0.37291,1.22245,1.10696,1.40388,0.00054875,0.00054875,0.00054875
19,7112.69,1.24985,0.9987,1.34804,0.79088,0.62654,0.62843,0.37485,1.25342,1.03046,1.42038,0.0005075,0.0005075,0.0005075
20,7639.39,1.25176,0.96781,1.33765,0.56058,0.60237,0.60183,0.37851,1.26355,1.01593,1.44447,0.00046625,0.00046625,0.00046625
21,8062.75,1.13963,0.83307,1.30549,0.54551,0.77081,0.61062,0.39706,1.22855,0.97014,1.42693,0.000425,0.000425,0.000425
22,8454.52,1.1111,0.74886,1.26772,0.52776,0.79633,0.6327,0.38834,1.27017,0.99957,1.45377,0.00038375,0.00038375,0.00038375
23,8868.36,1.09636,0.72592,1.25178,0.56977,0.83537,0.63371,0.3736,1.27214,0.89145,1.43757,0.0003425,0.0003425,0.0003425
24,9350.11,1.09815,0.73429,1.25342,0.62091,0.79793,0.66137,0.40525,1.20115,0.84086,1.38767,0.00030125,0.00030125,0.00030125
25,9717.73,1.07733,0.68613,1.25929,0.59653,0.589,0.64174,0.39041,1.24466,0.87327,1.42234,0.00026,0.00026,0.00026
26,10059.7,1.03798,0.65414,1.21768,0.60027,0.76829,0.67895,0.40792,1.23583,0.86842,1.42124,0.00021875,0.00021875,0.00021875
27,10374.3,1.01825,0.63023,1.20853,0.58991,0.69783,0.7089,0.44274,1.25679,0.84837,1.40122,0.0001775,0.0001775,0.0001775
28,10686.5,0.98991,0.61725,1.18118,0.66633,0.76493,0.73522,0.45838,1.26251,0.80728,1.41372,0.00013625,0.00013625,0.00013625
29,10992.1,1.00735,0.63158,1.21881,0.67753,0.70628,0.70555,0.43613,1.25307,0.80459,1.42426,9.5e-05,9.5e-05,9.5e-05
30,11308.8,0.96114,0.6051,1.18564,0.66973,0.69836,0.73732,0.44532,1.2499,0.77927,1.41609,5.375e-05,5.375e-05,5.375e-05
